Statement,Correct,n,Fasttext.started_mean,Fasttext.started_raw,Fasttext.started_std,Fasttext.stopped_raw,Timer.started_raw,Timer.stopped_raw,fixcross.started_mean,fixcross.started_raw,fixcross.started_std,fixcross.stopped_mean,fixcross.stopped_raw,fixcross.stopped_std,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.started_std,key_resp.stopped_raw,order
Space can be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers are finite,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers are infinite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers have an end,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers are endless,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers cannot go on forever,j,1.0,51.60658645629883,51.60658645629883,0.0,,,,51.12396240234375,51.12396240234375,0.0,51.57331085205078,51.57331085205078,0.0,0.0,0.0,0.0,'f',0.16202087700366974,0.16202087700366974,0.0,51.60658645629883,51.60658645629883,0.0,,10.0
Numbers can go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers cannot be further divided,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers can be further divided,f,1.0,48.890010833740234,48.890010833740234,0.0,,,,48.40633010864258,48.40633010864258,0.0,48.85645294189453,48.85645294189453,0.0,1.0,1.0,0.0,'f',0.18905459344387054,0.18905459344387054,0.0,48.890010833740234,48.890010833740234,0.0,,6.0
Five is finite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Five is infinite,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Five has an end,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Five is endless,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Five cannot go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Five can go on forever,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Five cannot be further divided,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Five can be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Crocodiles are alive,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Pelicans are alive,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Turtles need nutrients,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Tigers reproduce,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Frogs reproduce,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Bricks can be put in a container,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Dumbells are composed of matter,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Concrete is composed of matter,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Diamonds have a molecular structure,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Rocks have a molecular structure,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Clocks are alive,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Comets are alive,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Robots need nutrients,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Sailboats reproduce,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Helicopters reproduce,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Color can be put in a container,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Echoes are composed of matter,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Shadows are composed of matter,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Music has a molecular structure,j,1.0,47.30709457397461,47.30709457397461,0.0,,,,46.823768615722656,46.823768615722656,0.0,47.27418518066406,47.27418518066406,0.0,0.0,0.0,0.0,'f',0.357719361782074,0.357719361782074,0.0,47.30709457397461,47.30709457397461,0.0,,4.0
Gravity has a molecular structure,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Algae is alive,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Bacteria are alive,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Grass needs nutrients,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Oaks reproduce,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Mushrooms reproduce,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Bubbles can be put in a container,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Foam is composed of matter,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Frost is composed of matter,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Pollen has a molecular structure,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Saliva has a molecular structure,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Hammers are alive,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Forks are alive,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Mittens need nutrients,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Tables reproduce,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Stones reproduce,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Songs can be put in a container,j,1.0,45.30644607543945,45.30644607543945,0.0,,,,44.83917999267578,44.83917999267578,0.0,45.290042877197266,45.290042877197266,0.0,0.0,0.0,0.0,'f',0.5844861268997192,0.5844861268997192,0.0,45.30644607543945,45.30644607543945,0.0,,2.0
Silence is composed of matter,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Thoughts are composed of matter,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Words have a molecular structure,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Dreams have a molecular structure,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
This sentence is written in English,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A square is a shape,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A triangle is a shape,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A circle is a shape,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Dinosaurs are extinct,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Magenta is a color,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Orange is a color,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Yellow is a color,f,1.0,42.98981475830078,42.98981475830078,0.0,,,,42.52317810058594,42.52317810058594,0.0,42.97285079956055,42.97285079956055,0.0,1.0,1.0,0.0,'f',0.7089762687683105,0.7089762687683105,0.0,42.98981475830078,42.98981475830078,0.0,,0.0
Humans can drink water,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Humans can eat food,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A clock is used to tell time,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A motorcycle is a vehicle,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A truck is a vehicle,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Jupiter is in our solar system,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
The Earth is a planet,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
The United States is a country,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
The United States has a president,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
There are fifty states in the United States,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Humans cannot breathe water,f,1.0,44.20601272583008,44.20601272583008,0.0,,,,43.72404479980469,43.72404479980469,0.0,44.1730842590332,44.1730842590332,0.0,1.0,1.0,0.0,'f',0.5950249433517456,0.5950249433517456,0.0,44.20601272583008,44.20601272583008,0.0,,1.0
A pencil is used to write,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
This sentence is written in Spanish,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A square is a color,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A triangle is an animal,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A circle is a flavor,j,1.0,49.5903205871582,49.5903205871582,0.0,,,,49.106807708740234,49.106807708740234,0.0,49.55734634399414,49.55734634399414,0.0,0.0,0.0,0.0,'f',0.17955316603183746,0.17955316603183746,0.0,49.5903205871582,49.5903205871582,0.0,,7.0
Dinosaurs are not extinct,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Magenta is a shape,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Orange is a shape,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Yellow is an animal,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Humans can breathe water,j,1.0,50.94036865234375,50.94036865234375,0.0,,,,50.456905364990234,50.456905364990234,0.0,50.906959533691406,50.906959533691406,0.0,0.0,0.0,0.0,'f',0.1572446972131729,0.1572446972131729,0.0,50.94036865234375,50.94036865234375,0.0,,9.0
Humans cannot eat food,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A horse is used to tell time,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A motorcycle is a person,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A truck is an animal,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Jupiter is the planet we live on,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
The Earth is a star,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Mississippi is a country,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
The president of the United States is Oprah,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
There are ninty states in the United States,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Humans can breathe water,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A zebra is used to write,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',

extraInfo
participant,0
session,001
date,2022_Feb_08_1630
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,59.912867996813446
