Statement,Correct,n,Fasttext.started_mean,Fasttext.started_raw,Fasttext.started_std,Fasttext.stopped_raw,Timer.started_raw,Timer.stopped_raw,fixcross.started_mean,fixcross.started_raw,fixcross.started_std,fixcross.stopped_mean,fixcross.stopped_raw,fixcross.stopped_std,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.started_std,key_resp.stopped_raw,order
A minute is finite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A minute is infinite,j,1.0,67.40656280517578,67.40656280517578,0.0,,,,66.92314910888672,66.92314910888672,0.0,67.37380981445312,67.37380981445312,0.0,0.0,0.0,0.0,'f',0.06499864906072617,0.06499864906072617,0.0,67.40656280517578,67.40656280517578,0.0,,23.0
A minute has an end,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A minute is endless,j,1.0,102.22589874267578,102.22589874267578,0.0,,,,101.74232482910156,101.74232482910156,0.0,102.19230651855469,102.19230651855469,0.0,0.0,0.0,0.0,'f',0.14543533325195312,0.14543533325195312,0.0,102.22589874267578,102.22589874267578,0.0,,76.0
A minute cannot go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A minute can go on forever,j,1.0,77.02413940429688,77.02413940429688,0.0,,,,76.54118347167969,76.54118347167969,0.0,76.99107360839844,76.99107360839844,0.0,0.0,0.0,0.0,'f',0.12685352563858032,0.12685352563858032,0.0,77.02413940429688,77.02413940429688,0.0,,38.0
A minute cannot be further divided,j,1.0,90.3586196899414,90.3586196899414,0.0,,,,89.87617492675781,89.87617492675781,0.0,90.32534790039062,90.32534790039062,0.0,0.0,0.0,0.0,'f',0.13043197989463806,0.13043197989463806,0.0,90.3586196899414,90.3586196899414,0.0,,57.0
A minute can be further divided,f,1.0,52.48830032348633,52.48830032348633,0.0,,,,52.00490188598633,52.00490188598633,0.0,52.45548629760742,52.45548629760742,0.0,1.0,1.0,0.0,'f',0.1290072798728943,0.1290072798728943,0.0,52.48830032348633,52.48830032348633,0.0,,1.0
An inch is finite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch is infinite,j,1.0,94.99163055419922,94.99163055419922,0.0,,,,94.50917053222656,94.50917053222656,0.0,94.95919799804688,94.95919799804688,0.0,0.0,0.0,0.0,'f',0.36138513684272766,0.36138513684272766,0.0,94.99163055419922,94.99163055419922,0.0,,64.0
An inch has an end,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch is endless,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch cannot go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch can go on forever,j,1.0,57.68900680541992,57.68900680541992,0.0,,,,57.20643615722656,57.20643615722656,0.0,57.656131744384766,57.656131744384766,0.0,0.0,0.0,0.0,'f',0.14233557879924774,0.14233557879924774,0.0,57.68900680541992,57.68900680541992,0.0,,9.0
An inch cannot be further divided,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch can be further divided,f,1.0,96.47628784179688,96.47628784179688,0.0,,,,95.99246978759766,95.99246978759766,0.0,96.4424057006836,96.4424057006836,0.0,1.0,1.0,0.0,'f',0.035424765199422836,0.035424765199422836,0.0,96.47628784179688,96.47628784179688,0.0,,66.0
Intervals of time can be finite,f,1.0,95.85884094238281,95.85884094238281,0.0,,,,95.37542724609375,95.37542724609375,0.0,95.82486724853516,95.82486724853516,0.0,1.0,1.0,0.0,'f',0.10293444991111755,0.10293444991111755,0.0,95.85884094238281,95.85884094238281,0.0,,65.0
Intervals of time can be infinite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Intervals of time can have an end,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Intervals of time can be endless,f,1.0,65.69029998779297,65.69029998779297,0.0,,,,65.20790100097656,65.20790100097656,0.0,65.65653991699219,65.65653991699219,0.0,1.0,1.0,0.0,'f',0.08246612548828125,0.08246612548828125,0.0,65.69029998779297,65.69029998779297,0.0,,20.0
Intervals of time cannot go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
