INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",3405,2022-04-06_15h57.12.402,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,120.2645821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",3405,2022-04-06_15h57.12.402,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,120.2645821,8.5097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3405,2022-04-06_15h57.12.402,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,120.2645821,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",3405,2022-04-06_15h57.12.402,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,120.2645821,0.7167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3405,2022-04-06_15h57.12.402,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,120.2645821,0.4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3405,2022-04-06_15h57.12.402,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,120.2645821,,f,0,1.9071,space,1.5313,0,0,0,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,3405,2022-04-06_15h57.12.402,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,120.2645821,,j,1,1.6505,space,2.0449,0,1,1,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,3405,2022-04-06_15h57.12.402,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,120.2645821,,j,1,1.5459,space,1.1835,0,2,2,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,3405,2022-04-06_15h57.12.402,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,120.2645821,,f,1,2.1416,space,0.9131,0,3,3,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,3405,2022-04-06_15h57.12.402,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,120.2645821,,j,1,1.7414,space,1.1215,0,4,4,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,3405,2022-04-06_15h57.12.402,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,120.2645821,,f,1,2.0014,space,1.2901,0,5,5,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
