INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,8.3059,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.6005,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.6531,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.4505,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.259,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,0,space,2.0716,0,0,0,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,j,1,space,2.5677,0,1,1,7,1,The Earth is a star,j,3.1504,,,,,,,,,,,,,,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,f,1,space,1.2463,0,2,2,0,1,A circle is a shape,f,3.8945,,,,,,,,,,,,,,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,j,0,space,1.9614,0,3,3,3,1,A clock is used to tell time,f,3.9269,,,,,,,,,,,,,,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,f,0,space,0.722,0,4,4,6,1,Jupiter is the planet we live on,j,3.5186,,,,,,,,,,,,,,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,0,space,2.8331,0,5,5,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,j,1,space,0.8999,0,6,6,8,1,Mississippi is a country,j,2.6119,,,,,,,,,,,,,,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,0,space,1.0205,0,7,7,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,j,1,space,0.7519,0,8,8,5,1,A truck is an animal,j,2.853,,,,,,,,,,,,,,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,f,1,space,1.2536,0,9,9,1,1,Dinosaurs are extinct,f,2.5326,,,,,,,,,,,,,,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.9156,,,,,,,,,space,0.2192,f,1,3.0564,,0,0,0,7,1,A minute can always be further divided,f,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.7018,,,,,,,,,,,f,0,3.2383,,0,1,1,22,1,Time cannot always be further divided,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.9191,,,,,,,,,,,,0,,,0,2,2,30,1,Space cannot always be further divided,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.7355,,,,,,,,,,,f,1,2.9995,,0,3,3,88,1,This sentence is written in English,f,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.8011,,,,,,,,,,,j,1,2.1497,,0,4,4,78,1,Hammers are alive,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.8884,,,,,,,,,,,,0,,,0,5,5,57,1,Rocks have a molecular structure,f,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,1.1245,,,,,,,,,,,j,0,2.8878,,0,6,6,52,1,Frogs reproduce,f,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.773,,,,,,,,,,,j,1,3.6876,,0,7,7,126,1,Humans can breathe water,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,2.3863,,,,,,,,,,,j,1,3.9503,,0,8,8,118,1,A horse is used to tell time,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,1.7198,,,,,,,,,,,f,0,3.9139,,0,9,9,65,1,Shadows are composed of matter,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.801,,,,,,,,,,,,0,,,0,10,10,84,1,Silence is composed of matter,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,2.0139,,,,,,,,,,,j,0,2.7715,,0,11,11,101,1,Jupiter is in our solar system,f,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.92,,,,,,,,,,,j,1,3.959,,0,12,12,119,1,A motorcycle is a person,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.8216,,,,,,,,,,,j,0,3.6747,,0,13,13,53,1,Bricks can be put in a container,f,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.7741,,,,,,,,,,,f,1,3.0665,,0,14,14,71,1,Oaks reproduce,f,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,2.3052,,,,,,,,,,,f,0,1.9,,0,15,15,113,1,Magenta is a shape,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,1.1173,,,,,,,,,,,j,1,2.7697,,0,16,16,26,1,Space has an end,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.8679,,,,,,,,,,,j,1,3.2743,,0,17,17,83,1,Songs can be put in a container,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,1.8546,,,,,,,,,,,f,0,3.5996,,0,18,18,124,1,The president of the United States is Oprah,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,1.4203,,,,,,,,,,,f,1,2.4871,,0,19,19,69,1,Bacteria are alive,f,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.8587,,,,,,,,,,,j,0,2.6233,,0,20,20,44,1,The number five cannot go on forever,f,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.6683,,,,,,,,,,,f,1,3.6057,,0,21,21,89,1,A square is a shape,f,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.5732,,,,,,,,,,,,0,,,0,22,22,11,1,An inch is endless,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,1.3174,,,,,,,,,,,j,1,3.1333,,0,23,23,115,1,Yellow is an animal,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.9197,,,,,,,,,,,f,1,2.2642,,0,24,24,91,1,A circle is a shape,f,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.7768,,,,,,,,,,,,0,,,0,25,25,6,1,A minute cannot always be further divided,j,,,
,,,,,,,,8958,2022-04-13_20h02.46.374,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.47777442,,,space,0.3683,,,,,,,,,,,f,0,3.1497,,0,26,26,87,1,Dreams have a molecular structure,j,,,
