INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,5.8995,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.9922,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,13.6347,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,2.6775,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,2.0666,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,f,1,1.1346,space,0.6757,0,0,0,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,j,1,0.9927,space,0.5409,0,1,1,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,j,1,0.9889,space,0.5063,0,2,2,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,j,1,1.0502,space,0.4593,0,3,3,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,f,1,1.4432,space,0.534,0,4,4,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,f,1,1.2344,space,0.4837,0,5,5,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,f,1,0.9395,space,0.4018,0,6,6,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,f,1,1.0521,space,0.393,0,7,7,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,j,1,0.9807,space,0.5189,0,8,8,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,j,1,1.384,space,0.5509,0,9,9,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,4589,2022-04-06_17h13.44.207,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.77286312,,,,space,0.7026,,,,,,,,,,0,,0,0,0,66,1,Music has a molecular structure,j,,,,
