INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,f,0,0.8813,space,0.5757,0,5,5,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,j,0,1.0894,space,1.1512,0,6,6,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,j,1,1.1733,space,0.765,0,7,7,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,j,1,1.4156,space,0.5217,0,8,8,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,f,1,1.0904,space,0.3437,0,9,9,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,1.0219,,,,,,,,space,1.8669,f,1,1.2431,,0,0,0,35,1,Numbers are endless,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.7071,,,,,,,,,,j,0,2.0902,,0,1,1,42,1,The number five has an end,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.5445,,,,,,,,,,f,1,1.7914,,0,2,2,27,1,Space is endless,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.6697,,,,,,,,,,f,0,1.4756,,0,3,3,43,1,The number five is endless,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.4372,,,,,,,,,,f,1,1.0239,,0,4,4,29,1,Space can go on forever,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.7534,,,,,,,,,,f,0,0.9479,,0,5,5,11,1,An inch is endless,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,1.9551,,,,,,,,,,j,0,1.2821,,0,6,6,10,1,An inch has an end,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,1.2676,,,,,,,,,,j,1,1.0424,,0,7,7,79,1,Forks are alive,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,1.1767,,,,,,,,,,f,1,1.4588,,0,8,8,88,1,This sentence is written in English,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2397,,,,,,,,,,f,1,1.0645,,0,9,9,49,1,Pelicans are alive,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2248,,,,,,,,,,f,1,0.9663,,0,10,10,95,1,Yellow is a color,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.5351,,,,,,,,,,j,1,1.1933,,0,11,11,112,1,Dinosaurs are not extinct,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,3.7801,,,,,,,,,,f,1,1.7227,,0,12,12,12,1,An inch cannot go on forever,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,1.0059,,,,,,,,,,f,1,1.282,,0,13,13,96,1,Fish can swim in the ocean,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,1.5697,,,,,,,,,,j,1,1.0106,,0,14,14,117,1,Dolphins cannot swim in the ocean,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.6462,,,,,,,,,,j,0,1.0809,,0,15,15,76,1,Pollen has a molecular structure,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,1.0352,,,,,,,,,,j,0,1.2306,,0,16,16,19,1,Time is endless,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.8716,,,,,,,,,,f,1,1.4511,,0,17,17,53,1,Bricks can be put in a container,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.4554,,,,,,,,,,f,0,0.8724,,0,18,18,122,1,The Earth is a star,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.8374,,,,,,,,,,j,1,1.307,,0,19,19,124,1,The president of the United States is Oprah,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,1.1443,,,,,,,,,,j,0,1.84,,0,20,20,15,1,An inch can be always further divided,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.8116,,,,,,,,,,f,1,1.6758,,0,21,21,107,1,A pencil is used to write,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.347,,,,,,,,,,f,0,1.7221,,0,22,22,65,1,Shadows are composed of matter,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.601,,,,,,,,,,j,1,1.9286,,0,23,23,38,1,Numbers cannot always be further divided,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.6812,,,,,,,,,,f,1,1.0839,,0,24,24,102,1,The Earth is a planet,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.4129,,,,,,,,,,j,1,0.7691,,0,25,25,120,1,A truck is an animal,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.4214,,,,,,,,,,f,0,0.9201,,0,26,26,16,1,Time is finite,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.3938,,,,,,,,,,f,1,1.1901,,0,27,27,77,1,Saliva has a molecular structure,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2941,,,,,,,,,,j,1,1.1662,,0,28,28,20,1,Time cannot go on forever,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1935,,,,,,,,,,j,1,0.948,,0,29,29,113,1,Magenta is a shape,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2318,,,,,,,,,,f,1,1.1314,,0,30,30,72,1,Mushrooms reproduce,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2332,,,,,,,,,,j,1,1.2928,,0,31,31,30,1,Space cannot always be further divided,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2427,,,,,,,,,,f,1,1.2791,,0,32,32,70,1,Grass needs nutrients,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1568,,,,,,,,,,j,1,1.3706,,0,33,33,82,1,Stones reproduce,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2652,,,,,,,,,,f,1,1.4989,,0,34,34,51,1,Tigers reproduce,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1851,,,,,,,,,,j,1,1.3797,,0,35,35,36,1,Numbers cannot go on forever,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2113,,,,,,,,,,f,1,0.7431,,0,36,36,94,1,Orange is a color,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2675,,,,,,,,,,j,1,0.9701,,0,37,37,24,1,Space is finite,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.6667,,,,,,,,,,j,0,1.4705,,0,38,38,104,1,The United States has a president,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.219,,,,,,,,,,j,1,1.3734,,0,39,39,116,1,Fish cannot swim in the ocean,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,2.0746,,,,,,,,,,f,1,1.5793,space,0,40,40,74,1,Foam is composed of matter,f,0.8893,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.272,,,,,,,,,,j,1,0.9706,,0,41,41,60,1,Robots need nutrients,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1851,,,,,,,,,,f,1,0.9295,,0,42,42,99,1,A motorcycle is a vehicle,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.4745,,,,,,,,,,f,0,0.7074,,0,43,43,109,1,A square is a color,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1344,,,,,,,,,,f,1,0.7806,,0,44,44,100,1,A truck is a vehicle,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1613,,,,,,,,,,j,1,1.2484,,0,45,45,26,1,Space has an end,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1852,,,,,,,,,,f,1,1.166,,0,46,46,69,1,Bacteria are alive,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1462,,,,,,,,,,f,1,0.9367,,0,47,47,89,1,A square is a shape,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2087,,,,,,,,,,j,0,1.5496,,0,48,48,2,1,A minute has an end,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.3926,,,,,,,,,,f,1,1.7577,,0,49,49,17,1,Time is infinite,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2043,,,,,,,,,,j,1,1.4475,,0,50,50,85,1,Thoughts are composed of matter,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2179,,,,,,,,,,j,0,1.2166,,0,51,51,33,1,Numbers are infinite,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1386,,,,,,,,,,j,1,0.9695,,0,52,52,110,1,A triangle is an animal,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1362,,,,,,,,,,j,0,1.13,,0,53,53,106,1,Humans cannot breathe water,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.153,,,,,,,,,,j,1,1.646,,0,54,54,118,1,A horse is used to tell time,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2018,,,,,,,,,,f,1,1.0014,,0,55,55,92,1,Dinosaurs are extinct,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1667,,,,,,,,,,j,1,1.0997,,0,56,56,66,1,Music has a molecular structure,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1498,,,,,,,,,,j,1,1.3071,,0,57,57,6,1,A minute cannot always be further divided,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2513,,,,,,,,,,j,1,1.5243,,0,58,58,126,1,Humans can breathe water,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2038,,,,,,,,,,f,1,1.4457,,0,59,59,4,1,A minute cannot go on forever,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1605,,,,,,,,,,j,1,1.5321,,0,60,60,14,1,An inch cannot always be further divided,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.249,,,,,,,,,,f,0,1.3261,,0,61,61,41,1,The number five is infinite,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1759,,,,,,,,,,j,1,1.1991,,0,62,62,84,1,Silence is composed of matter,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1785,,,,,,,,,,j,1,0.9937,,0,63,63,111,1,A circle is a flavor,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1869,,,,,,,,,,j,1,1.1472,,0,64,64,34,1,Numbers have an end,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.288,,,,,,,,,,j,1,1.4982,,0,65,65,121,1,Jupiter is the planet we live on,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1394,,,,,,,,,,j,1,1.3155,,0,66,66,125,1,There are ninty states in the United States,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1984,,,,,,,,,,f,1,1.1191,,0,67,67,57,1,Rocks have a molecular structure,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1971,,,,,,,,,,j,1,1.0864,,0,68,68,127,1,A zebra is used to write,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2169,,,,,,,,,,f,1,0.8302,,0,69,69,93,1,Magenta is a color,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.2253,,,,,,,,,,f,1,1.347,,0,70,70,73,1,Bubbles can be put in a container,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1997,,,,,,,,,,j,0,1.2203,,0,71,71,54,1,Dumbells are composed of matter,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1755,,,,,,,,,,j,1,0.9634,,0,72,72,18,1,Time has an end,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.596,,,,,,,,,,f,1,1.4128,,0,73,73,8,1,An inch is finite,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1867,,,,,,,,,,j,1,0.8346,,0,74,74,123,1,Mississippi is a country,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.174,,,,,,,,,,j,0,1.1458,,0,75,75,40,1,The number five is finite,f,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1747,,,,,,,,,,j,1,1.0014,,0,76,76,59,1,Comets are alive,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1607,,,,,,,,,,j,1,1.4858,,0,77,77,46,1,The number five cannot always be further divided,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.218,,,,,,,,,,j,1,1.4534,,0,78,78,108,1,This sentence is written in Spanish,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.15,,,,,,,,,,j,1,1.0969,,0,79,79,58,1,Clocks are alive,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,space,0.1534,,,,,,,,,,j,1,1.2964,,0,80,80,83,1,Songs can be put in a container,j,,
,,,,,,,9266,2022-04-06_19h47.36.718,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.51318217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
