INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,3.9604,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.7787,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.1655,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.9176,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,2.0196,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,f,0,3.3289,space,0.8177,0,0,0,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,f,1,1.6931,space,1.4685,0,1,1,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,j,1,1.4003,space,0.8372,0,2,2,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,f,1,1.6689,space,4.0677,0,3,3,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,f,1,1.6002,space,0.8234,0,4,4,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,j,1,1.1356,space,0.7381,0,5,5,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,j,1,1.0224,space,0.569,0,6,6,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,j,1,1.1957,space,0.5351,0,7,7,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,f,1,0.9344,space,0.5191,0,8,8,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,f,1,0.9095,space,0.4543,0,9,9,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.5739,,,,,,,,space,5.4777,,0,,0,0,0,86,1,Words have a molecular structure,j,,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.4412,,,,,,,,,,j,1,,0,1,1,65,1,Shadows are composed of matter,j,2.0818,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.4522,,,,,,,,,,j,1,,0,2,2,22,1,Time cannot always be further divided,j,2.0568,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3434,,,,,,,,,,f,1,,0,3,3,72,1,Mushrooms reproduce,f,1.1213,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.4881,,,,,,,,,,j,1,,0,4,4,120,1,A truck is an animal,j,0.773,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3375,,,,,,,,,,f,1,,0,5,5,21,1,Time can go on forever,f,1.0392,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.324,,,,,,,,,,j,0,,0,6,6,73,1,Bubbles can be put in a container,f,1.5023,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2519,,,,,,,,,,j,1,,0,7,7,58,1,Clocks are alive,j,0.9537,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2687,,,,,,,,,,j,1,,0,8,8,124,1,The president of the United States is Oprah,j,1.0363,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2412,,,,,,,,,,j,1,,0,9,9,114,1,Lightbulbs are made of clay,j,1.0665,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2505,,,,,,,,,,j,0,,0,10,10,42,1,The number five has an end,f,1.3219,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2749,,,,,,,,,,j,1,,0,11,11,62,1,Helicopters reproduce,j,1.0524,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2559,,,,,,,,,,j,1,,0,12,12,126,1,Humans can breathe water,j,0.8055,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2524,,,,,,,,,,j,1,,0,13,13,36,1,Numbers cannot go on forever,j,1.3998,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2838,,,,,,,,,,j,1,,0,14,14,79,1,Forks are alive,j,0.8735,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.267,,,,,,,,,,j,1,,0,15,15,81,1,Tables reproduce,j,0.9447,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,1.1264,,,,,,,,,,f,1,,0,16,16,39,1,Numbers can always be further divided,f,1.6856,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3093,,,,,,,,,,j,1,,0,17,17,84,1,Silence is composed of matter,j,1.2588,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3462,,,,,,,,,,j,1,,0,18,18,108,1,This sentence is written in Spanish,j,1.1386,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3169,,,,,,,,,,f,1,,0,19,19,71,1,Oaks reproduce,f,0.8775,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2843,,,,,,,,,,j,1,,0,20,20,116,1,Fish cannot swim in the ocean,j,1.2015,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.4916,,,,,,,,,,f,1,,0,21,21,101,1,Jupiter is in our solar system,f,0.9543,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2671,,,,,,,,,,f,1,,0,22,22,95,1,Yellow is a color,f,0.7411,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2782,,,,,,,,,,f,1,,0,23,23,97,1,Dolphins can swim in the ocean,f,1.1742,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.1775,,,,,,,,,,f,1,,0,24,24,29,1,Space can go on forever,f,1.1392,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3285,,,,,,,,,,f,0,,0,25,25,18,1,Time has an end,j,0.7557,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3042,,,,,,,,,,f,1,,0,26,26,17,1,Time is infinite,f,0.8724,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.8162,,,,,,,,,,f,1,,0,27,27,7,1,A minute can always be further divided,f,1.2862,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3205,,,,,,,,,,j,1,,0,28,28,119,1,A motorcycle is a person,j,1.5012,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2766,,,,,,,,,,f,1,,0,29,29,77,1,Saliva has a molecular structure,f,1.2036,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2916,,,,,,,,,,f,1,,0,30,30,88,1,This sentence is written in English,f,1.1581,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2543,,,,,,,,,,j,0,,0,31,31,10,1,An inch has an end,f,1.2516,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2904,,,,,,,,,,f,1,,0,32,32,49,1,Pelicans are alive,f,0.9543,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.403,,,,,,,,,,f,1,,0,33,33,53,1,Bricks can be put in a container,f,1.0734,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.6399,,,,,,,,,,j,1,,0,34,34,34,1,Numbers have an end,j,1.5015,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2382,,,,,,,,,,j,1,,0,35,35,83,1,Songs can be put in a container,j,1.7789,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3345,,,,,,,,,,f,0,,0,36,36,16,1,Time is finite,j,0.9162,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.26,,,,,,,,,,f,1,,0,37,37,92,1,Dinosaurs are extinct,f,0.9902,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.284,,,,,,,,,,j,1,,0,38,38,127,1,A zebra is used to write,j,1.0066,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2892,,,,,,,,,,f,1,,0,39,39,0,1,A minute is finite,f,0.9844,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.5667,,,,,,,,,,f,1,space,0,40,40,103,1,The United States is a country,f,0.9235,2.0267,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3676,,,,,,,,,,f,1,,0,41,41,12,1,An inch cannot go on forever,f,1.3425,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.4844,,,,,,,,,,f,1,,0,42,42,54,1,Dumbells are composed of matter,f,1.016,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2543,,,,,,,,,,f,1,,0,43,43,2,1,A minute has an end,f,1.136,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.477,,,,,,,,,,j,0,,0,44,44,40,1,The number five is finite,f,1.5895,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3061,,,,,,,,,,f,1,,0,45,45,90,1,A triangle is not an animal,f,1.4597,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2908,,,,,,,,,,f,1,,0,46,46,74,1,Foam is composed of matter,f,1.2032,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.9736,,,,,,,,,,f,0,,0,47,47,80,1,Mittens need nutrients,j,1.2528,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3432,,,,,,,,,,j,1,,0,48,48,85,1,Thoughts are composed of matter,j,1.3225,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3587,,,,,,,,,,f,1,,0,49,49,104,1,The United States has a president,f,1.1369,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2176,,,,,,,,,,j,1,,0,50,50,59,1,Comets are alive,j,0.8825,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2618,,,,,,,,,,f,1,,0,51,51,33,1,Numbers are infinite,f,1.4189,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.3177,,,,,,,,,,f,1,,0,52,52,75,1,Frost is composed of matter,f,1.3004,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.6022,,,,,,,,,,f,0,,0,53,53,11,1,An inch is endless,j,0.9099,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2889,,,,,,,,,,j,0,,0,54,54,31,1,Space can always be further divided,f,1.3198,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2456,,,,,,,,,,j,0,,0,55,55,23,1,Time can always be further divided,f,1.4714,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2504,,,,,,,,,,j,1,,0,56,56,5,1,A minute can go on forever,j,1.2563,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.2389,,,,,,,,,,j,1,,0,57,57,9,1,An inch is infinite,j,1.4663,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.5591,,,,,,,,,,f,1,,0,58,58,56,1,Diamonds have a molecular structure,f,1.167,,,
,,,,,,,,2255,2022-04-06_18h58.16.102,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.54507562,,,,space,0.4178,,,,,,,,,,f,1,,0,59,59,106,1,Humans cannot breathe water,f,0.9613,,,
