INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,9.6296,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,7.2231,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,4.3711,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,1.9268,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,j,0,2.2573,space,6.9072,0,0,0,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,j,1,2.862,space,1.1551,0,1,1,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,j,1,1.7188,space,2.2013,0,2,2,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,f,1,1.3345,space,1.1352,0,3,3,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,j,1,2.2863,space,2.2027,0,4,4,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,f,1,1.3539,space,0.9089,0,5,5,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,f,1,1.6371,space,0.8246,0,6,6,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,j,1,2.0834,space,1.4658,0,7,7,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,f,1,0.7479,space,0.9264,0,8,8,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,j,1,1.1021,space,0.8204,0,9,9,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.764,,,,,,,,space,1.3495,f,0,1.3607,,0,0,0,67,1,Gravity has a molecular structure,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.8343,,,,,,,,,,j,1,1.1158,,0,1,1,79,1,Forks are alive,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.9402,,,,,,,,,,j,1,1.5813,,0,2,2,65,1,Shadows are composed of matter,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.6844,,,,,,,,,,f,1,1.181,,0,3,3,96,1,Fish can swim in the ocean,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,1.269,,,,,,,,,,f,1,1.1156,,0,4,4,0,1,A minute is finite,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.4717,,,,,,,,,,f,1,2.3061,,0,5,5,15,1,An inch can be always further divided,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.9441,,,,,,,,,,j,1,1.1985,,0,6,6,60,1,Robots need nutrients,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2576,,,,,,,,,,f,1,1.0653,,0,7,7,98,1,A clock is used to tell time,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1696,,,,,,,,,,f,1,0.8809,,0,8,8,100,1,A truck is a vehicle,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1906,,,,,,,,,,f,1,1.1423,,0,9,9,105,1,There are fifty states in the United States,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1869,,,,,,,,,,j,1,0.8045,,0,10,10,58,1,Clocks are alive,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1855,,,,,,,,,,f,1,0.9326,,0,11,11,40,1,The number five is finite,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2283,,,,,,,,,,f,1,2.2325,,0,12,12,39,1,Numbers can always be further divided,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.7226,,,,,,,,,,f,0,1.7554,,0,13,13,34,1,Numbers have an end,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2907,,,,,,,,,,j,1,1.7651,,0,14,14,14,1,An inch cannot always be further divided,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2351,,,,,,,,,,f,1,1.3143,,0,15,15,52,1,Frogs reproduce,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.3665,,,,,,,,,,j,1,1.3835,,0,16,16,30,1,Space cannot always be further divided,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2014,,,,,,,,,,j,1,1.4511,,0,17,17,6,1,A minute cannot always be further divided,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.188,,,,,,,,,,f,1,1.3504,,0,18,18,35,1,Numbers are endless,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1809,,,,,,,,,,f,1,1.0844,,0,19,19,68,1,Algae is alive,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1494,,,,,,,,,,j,1,1.0278,,0,20,20,111,1,A circle is a flavor,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,1.4575,,,,,,,,,,j,1,1.8124,,0,21,21,64,1,Echoes are composed of matter,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2352,,,,,,,,,,j,1,1.381,,0,22,22,123,1,Mississippi is a country,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1676,,,,,,,,,,j,1,1.1984,,0,23,23,80,1,Mittens need nutrients,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1637,,,,,,,,,,f,1,0.8592,,0,24,24,94,1,Orange is a color,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.6215,,,,,,,,,,j,0,1.3363,,0,25,25,73,1,Bubbles can be put in a container,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.252,,,,,,,,,,f,1,3.0719,,0,26,26,8,1,An inch is finite,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1529,,,,,,,,,,j,1,1.2012,,0,27,27,113,1,Magenta is a shape,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.6183,,,,,,,,,,j,0,3.7003,,0,28,28,23,1,Time can always be further divided,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.9569,,,,,,,,,,f,0,1.699,,0,29,29,1,1,A minute is infinite,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2768,,,,,,,,,,j,1,1.7656,,0,30,30,124,1,The president of the United States is Oprah,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.3786,,,,,,,,,,j,1,1.5718,,0,31,31,43,1,The number five is endless,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2083,,,,,,,,,,f,1,1.3231,,0,32,32,37,1,Numbers can go on forever,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2349,,,,,,,,,,j,1,0.9845,,0,33,33,3,1,A minute is endless,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2687,,,,,,,,,,f,1,1.1819,,0,34,34,88,1,This sentence is written in English,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,1.4748,,,,,,,,,,j,0,1.2564,,0,35,35,25,1,Space is infinite,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2652,,,,,,,,,,j,1,3.4647,,0,36,36,86,1,Words have a molecular structure,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1966,,,,,,,,,,j,0,1.9986,,0,37,37,44,1,The number five cannot go on forever,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1706,,,,,,,,,,j,1,1.4467,,0,38,38,87,1,Dreams have a molecular structure,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2007,,,,,,,,,,f,1,1.2523,,0,39,39,76,1,Pollen has a molecular structure,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,1.803,,,,,,,,,,j,1,1.337,space,0,40,40,18,1,Time has an end,j,2.0794,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1866,,,,,,,,,,j,0,1.1646,,0,41,41,7,1,A minute can always be further divided,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2343,,,,,,,,,,j,0,1.3184,,0,42,42,106,1,Humans cannot breathe water,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.234,,,,,,,,,,j,1,1.1243,,0,43,43,81,1,Tables reproduce,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2379,,,,,,,,,,f,1,1.1316,,0,44,44,29,1,Space can go on forever,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.3188,,,,,,,,,,j,1,1.3745,,0,45,45,24,1,Space is finite,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2389,,,,,,,,,,f,1,1.4167,,0,46,46,77,1,Saliva has a molecular structure,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1885,,,,,,,,,,j,1,1.4519,,0,47,47,5,1,A minute can go on forever,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.255,,,,,,,,,,f,1,0.8361,,0,48,48,95,1,Yellow is a color,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1661,,,,,,,,,,j,1,0.8767,,0,49,49,82,1,Stones reproduce,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.6016,,,,,,,,,,j,0,1.371,,0,50,50,31,1,Space can always be further divided,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2346,,,,,,,,,,f,1,1.6138,,0,51,51,54,1,Dumbells are composed of matter,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2003,,,,,,,,,,j,1,1.0834,,0,52,52,109,1,A square is a color,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2068,,,,,,,,,,f,1,1.353,,0,53,53,92,1,Dinosaurs are extinct,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2554,,,,,,,,,,f,1,1.0134,,0,54,54,102,1,The Earth is a planet,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.0349,,,,,,,,,,j,1,0.9644,,0,55,55,112,1,Dinosaurs are not extinct,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.252,,,,,,,,,,j,1,1.4704,,0,56,56,83,1,Songs can be put in a container,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.9025,,,,,,,,,,f,0,1.0814,,0,57,57,122,1,The Earth is a star,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2355,,,,,,,,,,f,1,1.2705,,0,58,58,27,1,Space is endless,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.234,,,,,,,,,,f,1,1.433,,0,59,59,56,1,Diamonds have a molecular structure,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.8219,,,,,,,,,,j,0,0.9819,,0,60,60,19,1,Time is endless,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2121,,,,,,,,,,j,1,1.5063,,0,61,61,9,1,An inch is infinite,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2516,,,,,,,,,,f,1,1.2685,,0,62,62,97,1,Dolphins can swim in the ocean,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2679,,,,,,,,,,j,1,1.2883,,0,63,63,36,1,Numbers cannot go on forever,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1198,,,,,,,,,,j,1,0.9838,,0,64,64,120,1,A truck is an animal,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2511,,,,,,,,,,f,1,1.4015,,0,65,65,107,1,A pencil is used to write,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.3627,,,,,,,,,,f,0,1.3225,,0,66,66,32,1,Numbers are finite,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.3948,,,,,,,,,,f,1,1.4879,,0,67,67,50,1,Turtles need nutrients,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.8078,,,,,,,,,,j,0,2.134,,0,68,68,75,1,Frost is composed of matter,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1713,,,,,,,,,,j,1,1.2947,,0,69,69,61,1,Sailboats reproduce,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,1.2379,,,,,,,,,,f,0,1.7506,,0,70,70,28,1,Space cannot go on forever,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.619,,,,,,,,,,j,1,2.4176,,0,71,71,38,1,Numbers cannot always be further divided,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2169,,,,,,,,,,f,1,1.1748,,0,72,72,69,1,Bacteria are alive,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1401,,,,,,,,,,j,1,1.2666,,0,73,73,85,1,Thoughts are composed of matter,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2233,,,,,,,,,,f,1,1.1183,,0,74,74,89,1,A square is a shape,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2844,,,,,,,,,,f,1,1.6417,,0,75,75,42,1,The number five has an end,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2856,,,,,,,,,,f,1,1.265,,0,76,76,104,1,The United States has a president,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.2349,,,,,,,,,,f,1,0.8877,,0,77,77,91,1,A circle is a shape,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.3183,,,,,,,,,,j,0,1.1197,,0,78,78,72,1,Mushrooms reproduce,f,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.5179,,,,,,,,,,j,1,2.2587,,0,79,79,117,1,Dolphins cannot swim in the ocean,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,space,0.1496,,,,,,,,,,j,1,1.5434,,0,80,80,84,1,Silence is composed of matter,j,,
,,,,,,,1908,2022-04-06_17h59.33.051,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
