practicetext,practicecorrect,n,PracticeText.started_mean,PracticeText.started_raw,PracticeText.started_std,PracticeText.stopped_raw,fixcross1.started_mean,fixcross1.started_raw,fixcross1.started_std,fixcross1.stopped_mean,fixcross1.stopped_raw,fixcross1.stopped_std,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,scaretone.started_raw,scaretone.stopped_raw,order
A circle is a shape,f,1.0,36.305335998535156,36.305335998535156,0.0,,35.821617126464844,35.821617126464844,0.0,36.27137756347656,36.27137756347656,0.0,1.0,1.0,0.0,'f',1.0730082988739014,1.0730082988739014,0.0,36.305335998535156,36.305335998535156,0.0,,,,3.0
Dinosaurs are extinct,f,1.0,37.887943267822266,37.887943267822266,0.0,,37.42068862915039,37.42068862915039,0.0,37.870872497558594,37.870872497558594,0.0,1.0,1.0,0.0,'f',0.7404232025146484,0.7404232025146484,0.0,37.887943267822266,37.887943267822266,0.0,,,,4.0
Magenta is a color,f,1.0,35.037960052490234,35.037960052490234,0.0,,34.55454635620117,34.55454635620117,0.0,35.00456237792969,35.00456237792969,0.0,1.0,1.0,0.0,'f',0.7656239867210388,0.7656239867210388,0.0,35.037960052490234,35.037960052490234,0.0,,,,2.0
A clock is used to tell time,f,1.0,33.55379867553711,33.55379867553711,0.0,,33.07135009765625,33.07135009765625,0.0,33.520782470703125,33.520782470703125,0.0,1.0,1.0,0.0,'f',0.9616603851318359,0.9616603851318359,0.0,33.55379867553711,33.55379867553711,0.0,,,,1.0
Humans cannot breathe water,f,1.0,42.238216400146484,42.238216400146484,0.0,,41.75479507446289,41.75479507446289,0.0,42.20401382446289,42.20401382446289,0.0,0.0,0.0,0.0,'j',0.7436742186546326,0.7436742186546326,0.0,42.238216400146484,42.238216400146484,0.0,,,,7.0
A truck is an animal,j,1.0,45.47134017944336,45.47134017944336,0.0,,44.98833084106445,44.98833084106445,0.0,45.43783950805664,45.43783950805664,0.0,1.0,1.0,0.0,'j',0.8764895796775818,0.8764895796775818,0.0,45.47134017944336,45.47134017944336,0.0,,,,9.0
Jupiter is the planet we live on,j,1.0,40.78862762451172,40.78862762451172,0.0,,40.30497741699219,40.30497741699219,0.0,40.75498962402344,40.75498962402344,0.0,1.0,1.0,0.0,'j',0.9324931502342224,0.9324931502342224,0.0,40.78862762451172,40.78862762451172,0.0,,,,6.0
The Earth is a star,j,1.0,31.45473289489746,31.45473289489746,0.0,,30.970731735229492,30.970731735229492,0.0,31.421241760253906,31.421241760253906,0.0,1.0,1.0,0.0,'j',1.5788942575454712,1.5788942575454712,0.0,31.45473289489746,31.45473289489746,0.0,,,,0.0
Mississippi is a country,j,1.0,39.1386604309082,39.1386604309082,0.0,,38.65496826171875,38.65496826171875,0.0,39.10609436035156,39.10609436035156,0.0,1.0,1.0,0.0,'j',1.1447663307189941,1.1447663307189941,0.0,39.1386604309082,39.1386604309082,0.0,,,,5.0
Humans cannot eat food,j,1.0,43.50484085083008,43.50484085083008,0.0,,43.02150344848633,43.02150344848633,0.0,43.47132873535156,43.47132873535156,0.0,1.0,1.0,0.0,'j',1.4651334285736084,1.4651334285736084,0.0,43.50484085083008,43.50484085083008,0.0,,,,8.0

extraInfo
participant,0
session,001
date,2022_Feb_08_1628
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,59.9898513980102
