INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
space,17.846,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,,,,,,,,,,,,,,,,,,,,,,,,,,
space,20.789,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,,,,,,,,,,,,,,,,,,,,,,,,,,
space,18.2855,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,,,,,,,,,,,,,,,,,,,,,,,,,,
space,11.9152,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,,,,,,,,,,,,,,,,,,,,,,,,,,
space,7.7846,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,f,1,1.8064,space,2.4429,0,0,0,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,
,,,,,,,,4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,j,1,1.845,space,1.4894,0,1,1,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,
,,,,,,,,4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,f,0,1.2728,space,1.4188,0,2,2,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,
,,,,,,,,4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,f,1,1.5765,space,1.7411,0,3,3,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,
,,,,,,,,4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,f,1,1.2949,space,2.2231,0,4,4,2,1,Magenta is a color,f,,,,,,,,,,,,,,
,,,,,,,,4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,f,1,1.4156,space,1.4577,0,5,5,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,
,,,,,,,,4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,f,0,1.1514,space,2.3837,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,
,,,,,,,,4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,j,1,1.7452,space,2.37,0,7,7,8,1,Mississippi is a country,j,,,,,,,,,,,,,,
,,,,,,,,4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,f,1,1.5339,space,1.0628,0,8,8,0,1,A circle is a shape,f,,,,,,,,,,,,,,
,,,,,,,,4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,f,0,1.4509,space,1.3288,0,9,9,7,1,The Earth is a star,j,,,,,,,,,,,,,,
,,,,,,,,4765,2022-03-31_16h34.47.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,38.54455751,,,,space,4.337,,,,,,,,,j,1,2.2193,,0,0,0,38,1,Numbers cannot always be further divided,j,,
