INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,j,1,1.8075,space,1.0122,0,5,5,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,j,1,1.7588,space,1.3129,0,6,6,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,f,1,1.4089,space,1.064,0,7,7,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,j,1,1.0604,space,0.7376,0,8,8,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,f,1,1.3392,space,1.1148,0,9,9,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.8378,,,,,,,,space,6.1931,f,1,1.065,,0,0,0,102,1,The Earth is a planet,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.5138,,,,,,,,,,j,0,2.3034,,0,1,1,39,1,Numbers can always be further divided,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.9002,,,,,,,,,,j,1,0.9516,,0,2,2,120,1,A truck is an animal,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.6189,,,,,,,,,,f,1,1.2864,,0,3,3,2,1,A minute has an end,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.4535,,,,,,,,,,f,1,1.341,,0,4,4,37,1,Numbers can go on forever,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.8965,,,,,,,,,,f,1,1.7888,,0,5,5,53,1,Bricks can be put in a container,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.9209,,,,,,,,,,f,1,1.1543,,0,6,6,10,1,An inch has an end,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.8544,,,,,,,,,,f,1,1.2066,,0,7,7,107,1,A pencil is used to write,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.8582,,,,,,,,,,f,1,1.1386,,0,8,8,71,1,Oaks reproduce,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.3578,,,,,,,,,,j,1,1.7529,,0,9,9,86,1,Words have a molecular structure,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.8747,,,,,,,,,,f,0,1.0172,,0,10,10,13,1,An inch can go on forever,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.4986,,,,,,,,,,j,0,1.1291,,0,11,11,96,1,Fish can swim in the ocean,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.8201,,,,,,,,,,f,1,1.2223,,0,12,12,88,1,This sentence is written in English,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,2.1844,,,,,,,,,,j,0,1.5008,,0,13,13,40,1,The number five is finite,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.1347,,,,,,,,,,j,1,1.5629,,0,14,14,32,1,Numbers are finite,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.139,,,,,,,,,,f,1,1.2284,,0,15,15,97,1,Dolphins can swim in the ocean,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.9625,,,,,,,,,,f,1,1.1123,,0,16,16,8,1,An inch is finite,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.7985,,,,,,,,,,j,1,2.1844,,0,17,17,83,1,Songs can be put in a container,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.4129,,,,,,,,,,j,1,1.2356,,0,18,18,116,1,Fish cannot swim in the ocean,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6812,,,,,,,,,,f,1,2.7697,,0,19,19,44,1,The number five cannot go on forever,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.9069,,,,,,,,,,f,0,1.5506,,0,20,20,85,1,Thoughts are composed of matter,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.9737,,,,,,,,,,j,1,1.262,,0,21,21,60,1,Robots need nutrients,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.7944,,,,,,,,,,f,1,1.1429,,0,22,22,0,1,A minute is finite,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.9364,,,,,,,,,,f,1,1.0325,,0,23,23,27,1,Space is endless,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.8535,,,,,,,,,,j,1,1.0774,,0,24,24,82,1,Stones reproduce,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6223,,,,,,,,,,f,1,0.9654,,0,25,25,95,1,Yellow is a color,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6938,,,,,,,,,,f,0,1.08,,0,26,26,59,1,Comets are alive,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6228,,,,,,,,,,j,1,1.4161,,0,27,27,118,1,A horse is used to tell time,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.907,,,,,,,,,,j,1,1.3016,,0,28,28,18,1,Time has an end,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6885,,,,,,,,,,f,1,0.962,,0,29,29,51,1,Tigers reproduce,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6922,,,,,,,,,,j,0,1.7545,,0,30,30,72,1,Mushrooms reproduce,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.4377,,,,,,,,,,j,1,1.8632,,0,31,31,14,1,An inch cannot always be further divided,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6776,,,,,,,,,,f,1,0.9128,,0,32,32,69,1,Bacteria are alive,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.8693,,,,,,,,,,f,1,1.3402,,0,33,33,31,1,Space can always be further divided,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.7488,,,,,,,,,,f,1,1.3734,,0,34,34,33,1,Numbers are infinite,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.7439,,,,,,,,,,j,1,1.1475,,0,35,35,109,1,A square is a color,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6161,,,,,,,,,,j,1,2.0402,,0,36,36,20,1,Time cannot go on forever,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5514,,,,,,,,,,j,1,1.1695,,0,37,37,113,1,Magenta is a shape,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6303,,,,,,,,,,j,1,1.0061,,0,38,38,79,1,Forks are alive,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6874,,,,,,,,,,j,1,1.2979,,0,39,39,1,1,A minute is infinite,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,4.2244,,,,,,,,,,j,1,1.4663,space,0,40,40,117,1,Dolphins cannot swim in the ocean,j,0.8552,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6191,,,,,,,,,,j,1,1.3585,,0,41,41,28,1,Space cannot go on forever,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5106,,,,,,,,,,j,1,1.3511,,0,42,42,112,1,Dinosaurs are not extinct,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.8765,,,,,,,,,,j,0,1.8392,,0,43,43,15,1,An inch can be always further divided,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.0744,,,,,,,,,,f,1,1.4734,,0,44,44,19,1,Time is endless,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5645,,,,,,,,,,f,1,1.1355,,0,45,45,104,1,The United States has a president,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5624,,,,,,,,,,f,1,1.1271,,0,46,46,92,1,Dinosaurs are extinct,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6173,,,,,,,,,,f,1,1.5255,,0,47,47,57,1,Rocks have a molecular structure,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5607,,,,,,,,,,j,1,2.148,,0,48,48,67,1,Gravity has a molecular structure,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.563,,,,,,,,,,f,1,1.284,,0,49,49,98,1,A clock is used to tell time,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5663,,,,,,,,,,j,1,0.9602,,0,50,50,78,1,Hammers are alive,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5147,,,,,,,,,,f,1,1.0258,,0,51,51,103,1,The United States is a country,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5657,,,,,,,,,,f,1,1.0327,,0,52,52,50,1,Turtles need nutrients,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.7055,,,,,,,,,,f,1,1.6529,,0,53,53,54,1,Dumbells are composed of matter,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.7972,,,,,,,,,,f,1,1.3863,,0,54,54,99,1,A motorcycle is a vehicle,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.5876,,,,,,,,,,j,0,1.1317,,0,55,55,90,1,A triangle is not an animal,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.6367,,,,,,,,,,j,1,1.131,,0,56,56,111,1,A circle is a flavor,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6294,,,,,,,,,,j,1,1.9328,,0,57,57,38,1,Numbers cannot always be further divided,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6832,,,,,,,,,,f,0,1.1854,,0,58,58,9,1,An inch is infinite,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5703,,,,,,,,,,j,1,1.7782,,0,59,59,45,1,The number five can go on forever,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.3281,,,,,,,,,,j,1,1.6058,,0,60,60,6,1,A minute cannot always be further divided,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6292,,,,,,,,,,f,1,1.3998,,0,61,61,56,1,Diamonds have a molecular structure,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.647,,,,,,,,,,f,1,1.6435,,0,62,62,4,1,A minute cannot go on forever,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.8802,,,,,,,,,,f,1,1.051,,0,63,63,91,1,A circle is a shape,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6885,,,,,,,,,,j,1,1.2542,,0,64,64,121,1,Jupiter is the planet we live on,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6958,,,,,,,,,,j,1,1.5194,,0,65,65,66,1,Music has a molecular structure,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.7158,,,,,,,,,,j,0,1.2668,,0,66,66,12,1,An inch cannot go on forever,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.7492,,,,,,,,,,j,1,1.3174,,0,67,67,123,1,Mississippi is a country,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6542,,,,,,,,,,j,0,1.7532,,0,68,68,7,1,A minute can always be further divided,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5159,,,,,,,,,,j,1,1.4807,,0,69,69,84,1,Silence is composed of matter,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.7477,,,,,,,,,,j,0,1.2548,,0,70,70,29,1,Space can go on forever,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.4605,,,,,,,,,,j,1,1.2051,,0,71,71,119,1,A motorcycle is a person,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5742,,,,,,,,,,f,1,1.3369,,0,72,72,101,1,Jupiter is in our solar system,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.8027,,,,,,,,,,f,1,1.3162,,0,73,73,105,1,There are fifty states in the United States,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5793,,,,,,,,,,j,0,1.6071,,0,74,74,47,1,The number five can always be further divided,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.4499,,,,,,,,,,j,1,1.3302,,0,75,75,5,1,A minute can go on forever,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5141,,,,,,,,,,f,1,1.3498,,0,76,76,21,1,Time can go on forever,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.5185,,,,,,,,,,f,1,0.9666,,0,77,77,94,1,Orange is a color,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,1.0965,,,,,,,,,,f,1,1.4241,,0,78,78,55,1,Concrete is composed of matter,f,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.8035,,,,,,,,,,j,1,1.3446,,0,79,79,81,1,Tables reproduce,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,space,0.6577,,,,,,,,,,j,1,1.2612,,0,80,80,24,1,Space is finite,j,,
,,,,,,,7252,2022-04-06_18h59.25.903,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.07977199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
