INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
space,13.1149,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,12.9091,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,11.2196,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.4362,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,4.0472,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,f,1,1.2941,space,1.2326,0,0,0,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,f,1,0.9804,space,0.6712,0,1,1,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,j,1,1.1592,space,0.5141,0,2,2,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,f,1,1.6957,space,7.1894,0,3,3,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,f,1,1.0188,space,0.8005,0,4,4,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,j,1,1.8829,space,2.0154,0,5,5,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,f,1,1.0113,space,0.4869,0,6,6,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,j,1,1.36,space,0.3871,0,7,7,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,j,1,1.2036,space,0.4313,0,8,8,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,j,1,1.037,space,0.4005,0,9,9,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.4682,,,,,,,,space,3.2857,j,1,1.2829,,0,0,0,108,1,This sentence is written in Spanish,j,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.3781,,,,,,,,,,f,1,1.2104,,0,1,1,98,1,A clock is used to tell time,f,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,2.9649,,,,,,,,,,f,1,1.639,,0,2,2,4,1,A minute cannot go on forever,f,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.9765,,,,,,,,,,j,1,1.5608,,0,3,3,13,1,An inch can go on forever,j,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.4096,,,,,,,,,,j,1,1.0978,,0,4,4,111,1,A circle is a flavor,j,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.5065,,,,,,,,,,j,1,1.4051,,0,5,5,20,1,Time cannot go on forever,j,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.8474,,,,,,,,,,j,1,1.7087,,0,6,6,86,1,Words have a molecular structure,j,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.3806,,,,,,,,,,f,1,1.0965,,0,7,7,88,1,This sentence is written in English,f,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.4185,,,,,,,,,,f,1,0.9344,,0,8,8,25,1,Space is infinite,f,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.3427,,,,,,,,,,f,1,1.0345,,0,9,9,101,1,Jupiter is in our solar system,f,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.6156,,,,,,,,,,f,0,1.4926,,0,10,10,67,1,Gravity has a molecular structure,j,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.4177,,,,,,,,,,j,1,1.4592,,0,11,11,124,1,The president of the United States is Oprah,j,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.5602,,,,,,,,,,f,1,1.4508,,0,12,12,71,1,Oaks reproduce,f,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.376,,,,,,,,,,f,1,1.1497,,0,13,13,96,1,Fish can swim in the ocean,f,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,5.4653,,,,,,,,,,j,1,1.6594,,0,14,14,85,1,Thoughts are composed of matter,j,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.3412,,,,,,,,,,j,1,0.9031,,0,15,15,115,1,Yellow is an animal,j,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.8616,,,,,,,,,,j,1,1.7114,,0,16,16,66,1,Music has a molecular structure,j,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.4293,,,,,,,,,,f,1,1.8013,,0,17,17,106,1,Humans cannot breathe water,f,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.3424,,,,,,,,,,f,1,1.0249,,0,18,18,72,1,Mushrooms reproduce,f,,
,,,,,,,,6453,2022-04-06_17h59.18.064,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.94485074,,,,space,0.3998,,,,,,,,,,j,1,1.9878,,0,19,19,84,1,Silence is composed of matter,j,,
